Sentiments,Reviews
negative,Stuff and design was totally changed. cheap quality 😐 not satisfied
positive,"i got my parxel before time,sorry for late review,but the cap is amazing and it looks soo classy n osm💜💜💜💜😘😘😘😘thnkuu soo much...."
positive,"So far so good..... Bought it only because it has the name Makute... Big fan of the product and the company, keep up the good work Daraz.pk..... Making a big difference in these difficult times..."
neutral,Received as described but not suitable such hard things for ear cleaning.
positive,"Received on time and in a safely packed box. The product is way more better than my expectations, love the dual color combination. Its quite big in size compare to the local market ones and totally worth the price."
positive,satisfied 🤩
positive,Seller is very cooperative plus sent the same bodysuit dress as I mentioned to them. Much thankful😀
negative,checked this device in 3 cars at a time but not working in any one any how i was ordered for honda Vezel but working in Honda Vezel
positive,good quality and fresh 👍 at given time
negative,"not fresh, very small"
neutral,good condition but one airpod isn't working 
negative,They were all sticked to each other and there were around 50 pieces only
neutral,Quality is acceptable but product picture and received product with minor changes. Its Tyre did not match. Ordered cycle tyre looks good but received looks shabby.
negative,"It’s a fake watch 
Doesn’t have button to on it
Bluddy scammer "
positive,good 😊
neutral,"Quality is OK for the price, but if you want good quality then I  donot recommend this product."
positive,I am happy
negative,bohat ajeeb hain . return bhi nhi ho rhi . koi achay colour nhi hain white colour bhi nhi chalta . ajeeb bohat ajeeb 👎bas ye hi colours hain
positive,"Got what I was looking for, seller sent it with good packaging condition & expiry too, thanks. Seller is recommended."
negative,Received damaged both scraper and roller because of unsafe delivery 
positive,Authentic product recieved. Safisfied overall
positive,excellent product as shown in the picture. Nice seller 👍
positive,Great Product
positive,I like it very much It's quality is very Good 
negative,not good. cooked with great difficulty
positive,Fresh and appropriately packaged.
positive,thaxx you so much i am very gald the quality of sound is outstanding i love it
negative,I had ordered 3 packs instead of recieving 18 bags received 15 bags....now what is the procedure we have to return the item aur u will send me remaining three bags????
negative,The bulb (tube light) of refregirator not working and the packing was good.
positive,This time i got my parcel in a few days
positive,Good shaper. Best quality. Excellent sauna effect.
negative,3rd quality
positive,great wow
positive,The product was delivered as it was described. Its very perfect. I like its speed of processing. Fully satisfied.
positive,this is my second order it's very effective for baby rash good product 😍
